Time,Quadrant Number,Ball Colour,Type
0.0,3,Color_1,Entry
0.0,4,Color_2,Entry
0.0,4,Color_4,Entry
0.03333333333333333,4,Color_1,Entry
0.03333333333333333,2,Color_2,Entry
0.03333333333333333,4,Color_3,Entry
0.03333333333333333,3,Color_4,Entry
0.03333333333333333,3,Color_1,Exit
0.03333333333333333,4,Color_2,Exit
0.03333333333333333,4,Color_4,Exit
0.06666666666666667,3,Color_3,Entry
0.06666666666666667,4,Color_4,Entry
0.06666666666666667,4,Color_3,Exit
0.06666666666666667,3,Color_4,Exit
0.1,2,Color_2,Exit
0.13333333333333333,2,Color_2,Entry
0.13333333333333333,4,Color_3,Entry
0.13333333333333333,3,Color_4,Entry
0.13333333333333333,3,Color_3,Exit
0.13333333333333333,4,Color_4,Exit
0.16666666666666666,3,Color_2,Entry
0.16666666666666666,4,Color_4,Entry
0.16666666666666666,2,Color_2,Exit
0.16666666666666666,4,Color_3,Exit
0.16666666666666666,3,Color_4,Exit
0.2,2,Color_2,Entry
0.2,4,Color_3,Entry
0.2,3,Color_4,Entry
0.2,3,Color_2,Exit
0.2,4,Color_4,Exit
0.26666666666666666,2,Color_1,Entry
0.26666666666666666,4,Color_2,Entry
0.26666666666666666,4,Color_1,Exit
0.26666666666666666,2,Color_2,Exit
0.3,4,Color_1,Entry
0.3,2,Color_2,Entry
0.3,2,Color_1,Exit
0.3,4,Color_2,Exit
0.3333333333333333,4,Color_2,Entry
0.3333333333333333,2,Color_3,Entry
0.3333333333333333,2,Color_2,Exit
0.3333333333333333,4,Color_3,Exit
0.36666666666666664,2,Color_1,Entry
0.36666666666666664,3,Color_3,Entry
0.36666666666666664,4,Color_4,Entry
0.36666666666666664,4,Color_1,Exit
0.36666666666666664,2,Color_3,Exit
0.36666666666666664,3,Color_4,Exit
0.4,3,Color_1,Entry
0.4,4,Color_3,Entry
0.4,2,Color_4,Entry
0.4,2,Color_1,Exit
0.4,3,Color_3,Exit
0.4,4,Color_4,Exit
0.43333333333333335,2,Color_3,Entry
0.43333333333333335,4,Color_4,Entry
0.43333333333333335,4,Color_3,Exit
0.43333333333333335,2,Color_4,Exit
0.4666666666666667,4,Color_3,Entry
0.4666666666666667,3,Color_4,Entry
0.4666666666666667,2,Color_3,Exit
0.4666666666666667,4,Color_4,Exit
0.5,4,Color_1,Entry
0.5,2,Color_3,Entry
0.5,3,Color_1,Exit
0.5,4,Color_3,Exit
0.5333333333333333,3,Color_1,Entry
0.5333333333333333,4,Color_4,Entry
0.5333333333333333,4,Color_1,Exit
0.5333333333333333,3,Color_4,Exit
0.5666666666666667,4,Color_1,Entry
0.5666666666666667,2,Color_2,Entry
0.5666666666666667,4,Color_3,Entry
0.5666666666666667,3,Color_4,Entry
0.5666666666666667,3,Color_1,Exit
0.5666666666666667,4,Color_2,Exit
0.5666666666666667,2,Color_3,Exit
0.5666666666666667,4,Color_4,Exit
0.6,3,Color_2,Entry
0.6,2,Color_2,Exit
0.6333333333333333,2,Color_2,Entry
0.6333333333333333,3,Color_2,Exit
0.6666666666666666,3,Color_1,Entry
0.6666666666666666,4,Color_2,Entry
0.6666666666666666,2,Color_3,Entry
0.6666666666666666,4,Color_4,Entry
0.6666666666666666,4,Color_1,Exit
0.6666666666666666,2,Color_2,Exit
0.6666666666666666,4,Color_3,Exit
0.6666666666666666,3,Color_4,Exit
0.7,4,Color_1,Entry
0.7,3,Color_2,Entry
0.7,3,Color_1,Exit
0.7,4,Color_2,Exit
0.7333333333333333,2,Color_2,Entry
0.7333333333333333,3,Color_3,Entry
0.7333333333333333,3,Color_2,Exit
0.7333333333333333,2,Color_3,Exit
0.7666666666666667,4,Color_3,Entry
0.7666666666666667,3,Color_4,Entry
0.7666666666666667,2,Color_2,Exit
0.7666666666666667,3,Color_3,Exit
0.7666666666666667,4,Color_4,Exit
0.8,2,Color_2,Entry
0.8333333333333334,3,Color_1,Entry
0.8333333333333334,4,Color_4,Entry
